employee_id,employee_name,age,gender,department,job_role,education,location,hire_date,years_at_company,manager_id,attendance_date,attendance_status,check_in,check_out,late_minutes,working_hours,gps_checkin,face_recognition,biometric_status,qr_checkin,shift_type,overtime_hours,shift_swap_requested,leave_type,leave_days_taken,leave_balance,leave_approval,timesheet_hours,project_hours,billable_hours,basic_salary,bonus,deduction,net_salary,kpi_score,goal_completion_percent,productivity_score,performance_rating,training_hours,skill,skill_gap_score,engagement_score,sentiment,attrition_status,attrition_risk_score,absenteeism_risk,workforce_forecast_need,manager_alert,hr_alert,work_anniversary,birthday_month
EMP00548,Employee_548,53,Male,Sales,Executive,Master,Pune,2019-02-19,0,MGR021,2026-08-01,Present,09:26,20:24,0,8.2,Yes,Verified,Success,Yes,Evening,0.4,Yes,,9,12,Pending,6.8,7.3,6.1,76496,1395,2195,75696,54,42,56,3,79,SAP,41,80,Positive,No,52,68,High,Leave,Attrition,2026-02-19,5
EMP00229,Employee_229,36,Male,Sales,Analyst,MBA,Chennai,2020-11-11,0,MGR019,2026-08-01,Present,09:29,20:09,0,7.8,Yes,Failed,Failed,Yes,Night,0.7,Yes,,11,3,Approved,7.9,7.7,4.4,110315,12626,6947,115994,87,97,55,2,66,Excel,54,50,Neutral,No,42,88,Medium,Performance,Payroll,2026-11-11,12
EMP00040,Employee_40,53,Female,IT,Executive,Bachelor,Hyderabad,2020-06-28,7,MGR004,2026-08-01,Present,09:06,20:41,0,8.0,Yes,Verified,Success,Yes,Morning,3.5,No,Earned,11,22,Approved,8.3,5.9,5.7,79381,1745,6495,74631,55,41,66,2,27,Power BI,70,100,Negative,No,87,67,Medium,,Payroll,2026-06-28,4
EMP00543,Employee_543,31,Male,Operations,Analyst,MCA,Delhi,2018-07-17,13,MGR067,2026-08-01,Present,10:18,18:41,79,7.9,Yes,Verified,Failed,Yes,Night,0.8,No,Earned,18,18,Pending,7.3,6.2,7.3,94637,7666,5576,96727,99,96,81,2,42,AWS,96,73,Positive,No,76,94,Low,,Compliance,2026-07-17,3
EMP00243,Employee_243,29,Female,Sales,Specialist,MCA,Chennai,2018-08-24,3,MGR052,2026-08-01,Present,08:12,20:00,0,9.1,Yes,Failed,Failed,Yes,Night,2.9,No,Casual,15,23,Rejected,8.9,7.3,7.3,149308,13893,8334,154867,83,83,88,2,5,SAP,21,83,Negative,No,38,22,Low,Leave,Compliance,2026-08-24,9
EMP00899,Employee_899,57,Male,Marketing,Specialist,MBA,Chennai,2020-10-21,0,MGR044,2026-08-01,Present,09:40,18:15,0,7.7,Yes,Failed,Success,Yes,Morning,2.1,Yes,Sick,4,6,Approved,8.5,6.8,5.0,57710,10675,1356,67029,80,97,77,2,52,Excel,23,94,Neutral,No,95,75,High,,Payroll,2026-10-21,3
EMP01134,Employee_1134,41,Female,Marketing,Coordinator,Bachelor,Bangalore,2023-11-25,20,MGR057,2026-08-01,Present,10:04,19:52,75,7.5,Yes,Verified,Success,Yes,Night,1.9,No,Earned,0,4,Pending,7.4,6.4,7.8,142353,2631,5466,139518,66,55,62,4,14,SAP,69,50,Neutral,No,38,92,Low,Leave,Attrition,2026-11-25,7
EMP01449,Employee_1449,37,Female,Finance,Coordinator,B.Tech,Hyderabad,2021-09-13,20,MGR078,2026-08-01,WFH,09:04,18:14,0,9.5,Yes,Verified,Failed,Yes,Evening,5.0,No,Casual,1,3,Rejected,6.1,5.2,4.3,90302,6109,4917,91494,68,60,88,5,54,Excel,73,100,Neutral,No,64,67,Medium,Leave,Compliance,2026-09-13,12
EMP01869,Employee_1869,22,Female,Marketing,Coordinator,B.Tech,Hyderabad,2022-11-17,20,MGR021,2026-08-01,Present,09:03,19:08,0,9.5,Yes,Failed,Success,Yes,Morning,2.7,Yes,Sick,11,14,Approved,6.8,6.1,7.9,26271,5881,110,32042,68,72,70,3,6,SQL,25,65,Neutral,No,27,37,Medium,,Compliance,2026-11-17,3
EMP00843,Employee_843,58,Male,HR,Specialist,B.Tech,Hyderabad,2019-05-04,9,MGR023,2026-08-01,Present,08:19,19:13,0,9.9,Yes,Failed,Failed,Yes,Night,2.4,No,Casual,8,7,Pending,9.0,6.7,7.8,118397,2677,1688,119386,85,83,96,5,63,SAP,0,43,Neutral,No,81,71,Low,Late,Payroll,2026-05-04,4
EMP01419,Employee_1419,48,Male,Sales,Coordinator,Bachelor,Bangalore,2021-04-29,17,MGR037,2026-08-01,Present,10:20,20:09,69,8.2,Yes,Verified,Failed,Yes,Morning,0.2,Yes,Earned,11,18,Pending,8.1,4.3,6.7,65395,15062,5811,74646,98,40,86,2,48,HRMS,8,83,Neutral,No,88,21,High,Late,Compliance,2026-04-29,12
EMP01654,Employee_1654,21,Male,Marketing,Manager,Master,Delhi,2021-03-01,0,MGR078,2026-08-01,Present,09:10,18:49,0,9.9,Yes,Verified,Failed,Yes,Evening,4.4,Yes,,3,27,Rejected,7.8,6.4,6.8,127476,10924,4392,134008,77,61,97,2,73,SQL,28,46,Positive,No,81,63,Low,Performance,,2026-03-01,6
EMP01970,Employee_1970,27,Male,HR,Executive,Bachelor,Hyderabad,2019-05-05,0,MGR038,2026-08-01,Present,09:31,20:41,0,9.0,Yes,Verified,Success,Yes,Evening,7.6,No,,3,11,Approved,6.4,6.7,6.4,43085,16773,1343,58515,58,42,81,2,30,SAP,98,100,Positive,No,90,10,Medium,Late,,2026-05-05,7
EMP00662,Employee_662,30,Female,Sales,Analyst,Master,Pune,2021-01-24,17,MGR009,2026-08-01,Present,09:57,20:03,0,7.4,Yes,Verified,Failed,Yes,Morning,1.2,No,Casual,14,15,Rejected,7.2,6.5,5.8,35878,13076,5215,43739,75,58,67,2,38,SAP,99,93,Neutral,No,33,41,Low,Leave,Compliance,2026-01-24,4
EMP01211,Employee_1211,53,Male,HR,Executive,Master,Pune,2023-12-07,7,MGR032,2026-08-01,Absent,09:34,18:50,0,9.8,Yes,Verified,Failed,Yes,Night,2.5,Yes,Earned,4,28,Rejected,6.2,4.7,4.2,31907,6306,5717,32496,51,59,69,3,29,Python,50,60,Negative,No,69,61,Low,,,2026-12-07,3
EMP00315,Employee_315,39,Female,Operations,Executive,MBA,Bhubaneswar,2021-02-16,15,MGR046,2026-08-01,Present,09:22,20:33,0,8.3,Yes,Failed,Failed,Yes,Morning,1.1,Yes,Earned,6,4,Rejected,7.7,8.0,4.6,140811,6528,2901,144438,91,91,93,4,36,Excel,43,84,Negative,No,80,95,Medium,,Compliance,2026-02-16,5
EMP00692,Employee_692,50,Male,Finance,Engineer,MCA,Bangalore,2019-12-18,18,MGR006,2026-08-01,Present,10:28,18:58,68,9.2,Yes,Verified,Failed,Yes,Evening,1.8,No,Sick,12,21,Rejected,8.9,4.0,5.4,46651,268,837,46082,51,44,76,5,17,AWS,71,62,Positive,No,55,4,High,Late,,2026-12-18,5
EMP01504,Employee_1504,44,Male,Finance,Specialist,Bachelor,Chennai,2022-12-19,11,MGR034,2026-08-01,Present,09:52,19:35,0,9.3,Yes,Failed,Success,Yes,Night,4.2,Yes,Sick,17,3,Pending,7.5,4.4,2.0,31180,8604,8320,31464,82,95,98,2,66,SAP,62,92,Negative,No,54,100,Low,Leave,Attrition,2026-12-19,10
EMP00425,Employee_425,36,Male,Sales,Coordinator,Master,Delhi,2019-05-24,20,MGR009,2026-08-01,Present,10:15,18:43,76,7.2,Yes,Failed,Success,Yes,Night,2.9,No,Casual,8,16,Rejected,7.9,6.7,3.8,96758,15520,8166,104112,69,50,51,3,31,HRMS,96,85,Positive,No,57,92,High,Performance,Compliance,2026-05-24,2
EMP00595,Employee_595,29,Male,Operations,Engineer,B.Tech,Pune,2023-06-02,15,MGR074,2026-08-01,Present,09:49,18:39,0,7.0,Yes,Failed,Success,Yes,Night,2.8,No,Sick,12,6,Rejected,8.3,6.7,6.9,116860,3940,8978,111822,52,64,80,5,26,HRMS,26,59,Negative,No,31,89,High,Performance,Attrition,2026-06-02,1
EMP01964,Employee_1964,33,Male,HR,Manager,B.Tech,Pune,2018-05-26,13,MGR023,2026-08-01,WFH,09:32,19:22,0,8.6,Yes,Verified,Success,Yes,Morning,2.5,Yes,Earned,15,27,Approved,7.5,4.8,7.9,120840,1727,7383,115184,92,53,83,3,56,Java,20,65,Positive,No,46,0,High,Leave,Payroll,2026-05-26,8
EMP00623,Employee_623,39,Male,IT,Engineer,Master,Delhi,2021-07-14,8,MGR049,2026-08-01,Present,09:06,18:45,0,8.6,Yes,Failed,Failed,Yes,Night,4.6,Yes,,6,10,Rejected,6.9,7.7,3.4,132943,13662,7151,139454,51,40,94,3,9,Power BI,87,68,Neutral,No,30,17,Low,Leave,Attrition,2026-07-14,5
EMP01171,Employee_1171,31,Female,Support,Executive,B.Tech,Chennai,2018-03-06,11,MGR003,2026-08-01,Present,10:06,19:41,63,7.5,Yes,Verified,Failed,Yes,Night,5.0,No,Casual,1,23,Rejected,8.0,5.4,5.2,70029,3931,9476,64484,97,95,90,5,71,SAP,100,50,Positive,No,28,0,Medium,Performance,,2026-03-06,1
EMP01044,Employee_1044,53,Female,IT,Coordinator,B.Tech,Delhi,2019-02-04,5,MGR051,2026-08-01,Present,08:05,20:34,0,8.3,Yes,Failed,Success,Yes,Night,6.4,No,Casual,1,6,Rejected,8.8,4.6,3.9,25201,18065,3775,39491,87,54,89,4,16,Power BI,33,48,Neutral,No,73,61,Medium,Late,Attrition,2026-02-04,8
EMP00228,Employee_228,40,Female,Finance,Executive,MCA,Delhi,2024-09-03,15,MGR010,2026-08-01,Present,10:45,19:12,64,7.5,Yes,Verified,Success,Yes,Morning,2.2,No,Earned,17,12,Pending,8.8,7.9,4.2,58723,12466,7596,63593,81,59,91,3,75,SQL,52,96,Positive,No,25,49,High,Late,Compliance,2026-09-03,7
EMP01118,Employee_1118,52,Male,Marketing,Engineer,B.Tech,Pune,2022-02-20,17,MGR049,2026-08-01,Absent,10:20,18:16,60,7.8,Yes,Verified,Success,Yes,Evening,4.9,No,Casual,2,19,Pending,8.3,7.0,5.0,112970,10823,5801,117992,90,41,83,5,68,Python,89,62,Positive,No,18,42,Low,Late,Attrition,2026-02-20,11
EMP01332,Employee_1332,26,Male,Sales,Executive,Bachelor,Chennai,2023-06-16,1,MGR054,2026-08-01,Present,10:32,18:06,73,9.5,Yes,Verified,Success,Yes,Evening,3.3,No,Earned,17,9,Rejected,7.9,5.4,6.9,62716,13239,2878,73077,74,49,86,4,16,SQL,96,84,Positive,No,52,5,High,,,2026-06-16,4
EMP01316,Employee_1316,48,Male,Marketing,Engineer,Master,Bhubaneswar,2019-09-15,16,MGR049,2026-08-01,Present,08:40,20:33,0,7.3,Yes,Verified,Failed,Yes,Morning,4.6,Yes,Casual,20,29,Approved,8.8,6.2,7.3,37061,12547,276,49332,86,83,80,3,0,Power BI,85,90,Neutral,No,67,77,Medium,Late,Payroll,2026-09-15,7
EMP00067,Employee_67,40,Male,Finance,Coordinator,Master,Chennai,2023-03-06,13,MGR049,2026-08-01,Present,09:38,19:37,0,8.2,Yes,Failed,Failed,Yes,Evening,1.5,Yes,Sick,2,22,Rejected,7.8,7.7,2.7,113208,16361,2280,127289,65,82,92,5,45,Power BI,82,79,Positive,No,82,82,High,Performance,Payroll,2026-03-06,7
EMP00025,Employee_25,55,Female,Finance,Coordinator,B.Tech,Delhi,2019-09-25,1,MGR080,2026-08-01,Present,08:40,20:58,0,7.9,Yes,Verified,Failed,Yes,Morning,0.0,No,,10,24,Rejected,8.1,4.4,3.0,110175,2631,5383,107423,69,97,51,5,5,AWS,7,58,Neutral,No,57,55,Low,Late,Attrition,2026-09-25,10
EMP00145,Employee_145,30,Female,Support,Specialist,MBA,Pune,2021-09-15,13,MGR008,2026-08-01,Present,09:19,20:46,0,9.0,Yes,Failed,Failed,Yes,Morning,5.0,Yes,Sick,15,25,Pending,6.2,4.6,7.0,109626,4448,7888,106186,71,64,90,2,68,Power BI,73,78,Neutral,No,33,76,Low,Leave,Payroll,2026-09-15,12
EMP00537,Employee_537,51,Male,Sales,Coordinator,Bachelor,Bhubaneswar,2021-04-20,3,MGR027,2026-08-01,Present,09:56,20:07,0,7.1,Yes,Verified,Success,Yes,Evening,2.4,No,Casual,15,19,Rejected,8.8,5.6,3.6,110672,3876,8696,105852,71,67,85,2,51,AWS,21,59,Positive,No,58,18,Low,,Payroll,2026-04-20,6
EMP00812,Employee_812,25,Male,Sales,Specialist,MCA,Bangalore,2022-07-03,3,MGR023,2026-08-01,Present,09:16,18:35,0,9.1,Yes,Verified,Success,Yes,Night,3.0,No,,9,26,Pending,8.4,4.3,5.6,139025,18914,6024,151915,89,75,93,5,33,Python,66,68,Positive,No,25,60,Low,Performance,Attrition,2026-07-03,2
EMP01467,Employee_1467,59,Male,Operations,Analyst,B.Tech,Bhubaneswar,2018-11-10,16,MGR078,2026-08-01,Present,10:42,18:09,74,7.5,Yes,Verified,Success,Yes,Night,3.7,No,,8,10,Approved,6.6,5.2,2.7,118822,19992,9376,129438,90,45,80,4,30,Java,11,100,Neutral,No,42,11,Medium,Performance,Payroll,2026-11-10,6
EMP00086,Employee_86,60,Male,Operations,Specialist,Bachelor,Pune,2018-01-08,4,MGR043,2026-08-01,Present,10:15,19:20,72,7.5,Yes,Verified,Failed,Yes,Night,5.4,No,Earned,18,0,Pending,6.6,6.8,4.1,48865,19739,5213,63391,100,46,96,2,0,Python,49,68,Negative,No,63,21,Medium,Performance,Attrition,2026-01-08,6
EMP01661,Employee_1661,40,Female,HR,Specialist,Master,Pune,2021-02-14,20,MGR046,2026-08-01,Present,09:38,20:51,0,9.1,Yes,Failed,Success,Yes,Night,5.2,Yes,Earned,9,8,Rejected,7.7,6.8,3.8,140511,1373,5415,136469,91,68,66,3,69,Power BI,21,52,Positive,No,78,51,Medium,Late,Payroll,2026-02-14,1
EMP01646,Employee_1646,44,Female,Marketing,Executive,Master,Bhubaneswar,2019-12-30,1,MGR027,2026-08-01,Present,09:14,18:10,0,7.0,Yes,Failed,Failed,Yes,Morning,2.1,No,Earned,16,1,Approved,7.5,6.0,3.9,36844,11018,3803,44059,73,63,72,2,6,AWS,12,80,Negative,No,21,90,Medium,Performance,,2026-12-30,5
EMP01805,Employee_1805,24,Male,HR,Executive,Master,Delhi,2023-12-24,0,MGR012,2026-08-01,Present,10:34,18:59,75,9.6,Yes,Verified,Success,Yes,Night,6.2,Yes,Earned,20,28,Pending,7.9,6.6,2.2,44368,18702,2421,60649,81,49,54,3,64,Python,55,66,Neutral,No,92,7,High,Leave,Attrition,2026-12-24,6
EMP01818,Employee_1818,51,Male,Support,Manager,MCA,Delhi,2018-03-19,4,MGR071,2026-08-01,Present,10:09,19:31,72,8.6,Yes,Failed,Success,Yes,Evening,4.0,No,,4,10,Pending,7.6,7.7,5.9,53699,3580,7025,50254,58,41,76,5,13,Power BI,94,64,Negative,No,70,31,Medium,,,2026-03-19,5
EMP01577,Employee_1577,34,Female,Finance,Coordinator,B.Tech,Hyderabad,2022-09-02,11,MGR003,2026-08-01,Present,09:09,18:35,0,7.4,Yes,Failed,Failed,Yes,Night,3.0,Yes,Earned,9,2,Approved,8.8,6.6,5.5,148086,1944,5465,144565,70,83,82,3,68,Python,62,54,Positive,No,72,15,Medium,Performance,Compliance,2026-09-02,6
EMP01145,Employee_1145,52,Female,Operations,Manager,Master,Chennai,2023-07-05,20,MGR025,2026-08-01,Present,08:39,19:53,0,9.5,Yes,Verified,Failed,Yes,Morning,0.2,No,Sick,20,8,Pending,6.3,6.7,5.5,82793,19800,8472,94121,93,54,82,3,46,SAP,91,96,Negative,No,29,67,Low,Performance,Compliance,2026-07-05,12
EMP00363,Employee_363,57,Male,Finance,Coordinator,MCA,Bangalore,2019-10-04,20,MGR052,2026-08-01,Present,09:51,18:09,0,8.2,Yes,Verified,Success,Yes,Night,5.0,Yes,Earned,14,10,Rejected,8.8,6.4,6.4,115959,6765,6323,116401,52,83,56,2,8,SQL,2,40,Positive,No,52,11,Medium,Leave,Compliance,2026-10-04,12
EMP01612,Employee_1612,45,Female,Operations,Analyst,MBA,Pune,2022-06-23,16,MGR064,2026-08-01,Present,10:26,18:48,80,9.3,Yes,Verified,Success,Yes,Night,0.8,Yes,Earned,2,27,Approved,8.6,5.1,5.8,145589,109,9769,135929,64,41,78,5,37,Python,19,69,Negative,No,73,93,High,Late,Attrition,2026-06-23,4
EMP01866,Employee_1866,57,Male,Operations,Analyst,MBA,Bangalore,2024-04-02,9,MGR002,2026-08-01,Present,09:18,19:53,0,7.9,Yes,Verified,Failed,Yes,Morning,3.4,Yes,,16,24,Approved,7.4,6.5,7.4,70919,6836,6389,71366,64,57,72,4,51,AWS,9,95,Positive,No,85,85,Low,Performance,Compliance,2026-04-02,7
EMP01027,Employee_1027,60,Female,HR,Analyst,Master,Chennai,2021-06-23,8,MGR003,2026-08-01,Present,09:13,19:34,0,9.7,Yes,Failed,Failed,Yes,Morning,3.9,Yes,,10,9,Approved,8.1,6.0,7.3,148968,14769,3817,159920,77,79,90,5,35,Excel,4,70,Negative,No,30,13,High,Performance,Attrition,2026-06-23,2
EMP01031,Employee_1031,51,Male,HR,Coordinator,MBA,Bangalore,2021-08-10,18,MGR019,2026-08-01,Present,09:45,20:03,0,9.4,Yes,Failed,Success,Yes,Evening,0.0,Yes,Sick,16,6,Rejected,7.2,7.1,2.6,134617,18359,3987,148989,68,99,64,5,2,Java,7,99,Positive,No,54,48,Low,,Payroll,2026-08-10,2
EMP01304,Employee_1304,27,Female,IT,Executive,Bachelor,Chennai,2020-03-19,8,MGR026,2026-08-01,Absent,09:16,18:18,0,8.8,Yes,Verified,Success,Yes,Evening,4.2,Yes,,8,15,Pending,7.4,5.1,7.4,99986,18787,5692,113081,59,51,59,4,12,Power BI,87,59,Positive,No,92,13,High,Performance,Compliance,2026-03-19,9
EMP01356,Employee_1356,56,Male,HR,Analyst,MCA,Hyderabad,2024-10-16,9,MGR029,2026-08-01,Present,09:08,19:31,0,7.7,Yes,Verified,Failed,Yes,Evening,1.0,No,Earned,3,18,Pending,6.4,6.6,5.8,33435,1260,9889,24806,85,40,90,4,67,Power BI,48,95,Positive,No,31,50,Medium,Performance,Compliance,2026-10-16,12
EMP01731,Employee_1731,33,Female,Finance,Specialist,MBA,Bangalore,2021-01-02,18,MGR054,2026-08-01,Present,08:51,18:18,0,9.4,Yes,Verified,Failed,Yes,Night,3.7,Yes,Sick,12,27,Rejected,7.4,5.0,7.2,51372,117,6510,44979,87,73,95,2,62,AWS,67,85,Neutral,No,16,21,Medium,Late,Attrition,2026-01-02,2
EMP00666,Employee_666,25,Female,Finance,Specialist,MBA,Bhubaneswar,2022-03-24,14,MGR075,2026-08-01,WFH,09:51,18:14,0,7.0,Yes,Verified,Failed,Yes,Morning,0.1,Yes,Casual,5,2,Pending,8.0,5.9,7.5,74358,9200,8064,75494,84,89,54,4,36,AWS,48,58,Neutral,No,46,31,Medium,,,2026-03-24,10
EMP00365,Employee_365,57,Female,Finance,Analyst,MBA,Bhubaneswar,2024-07-28,5,MGR018,2026-08-01,Present,09:43,19:58,0,7.4,Yes,Failed,Success,Yes,Night,5.4,No,Sick,5,22,Approved,7.1,7.9,5.0,142176,650,8057,134769,89,97,87,5,53,Power BI,46,94,Neutral,No,34,65,Medium,,Attrition,2026-07-28,6
EMP00078,Employee_78,48,Female,Marketing,Analyst,MBA,Chennai,2022-03-04,18,MGR010,2026-08-01,Present,09:32,19:03,0,8.5,Yes,Failed,Success,Yes,Evening,1.1,Yes,Sick,8,24,Approved,8.7,6.7,2.7,126112,961,5488,121585,97,72,50,2,5,Python,31,42,Neutral,No,56,49,Low,Late,,2026-03-04,9
EMP00028,Employee_28,28,Female,Finance,Coordinator,MBA,Delhi,2022-06-16,12,MGR048,2026-08-01,Present,10:14,19:01,71,8.9,Yes,Failed,Success,Yes,Night,1.2,Yes,,2,20,Pending,8.7,5.2,4.4,26824,8665,8791,26698,58,42,52,5,38,SAP,14,46,Positive,No,78,17,Medium,Performance,Payroll,2026-06-16,11
EMP01437,Employee_1437,24,Female,Marketing,Analyst,MCA,Delhi,2021-08-11,2,MGR074,2026-08-01,Present,09:59,20:41,0,9.4,Yes,Failed,Success,Yes,Evening,4.9,No,Earned,13,2,Pending,6.1,6.3,2.7,88855,15089,3083,100861,98,42,63,2,44,HRMS,93,50,Neutral,No,71,88,Medium,Late,,2026-08-11,1
